path,env_class,edge_case,bucket,bucket_fn,run_mode,surrogate_mode,before_log_rms_contrast,before_pct_saturated,before_pct_crushed,before_hist_entropy,before_local_contrast_std,after_log_rms_contrast,after_pct_saturated,after_pct_crushed,after_hist_entropy,after_local_contrast_std,proc_ms
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2464.png,night_clear,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.23856,0.001834,0.272378,6.27926,40.65173,1.13988,0.268777,3.6e-05,6.60561,91.08612,5.363
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/878.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.18045,0.000856,0.468841,5.1142,23.80575,1.03545,0.116546,0.0,6.87733,78.63238,5.637
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5790.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.15521,0.000637,0.476579,4.98458,24.51363,0.98884,0.095721,0.0,6.74089,75.53926,5.356
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/77.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.28548,0.000292,0.801826,3.60755,17.61585,0.9649,0.015297,0.0,5.71231,42.14976,5.335
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5016.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.08447,0.00031,0.757402,3.83855,13.26505,0.95146,0.038346,0.0,5.91031,55.07762,5.507
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4091.png,night_clear,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.27415,0.00503,0.4189,5.57373,43.77554,1.06845,0.187281,0.0,6.80237,78.94046,5.405
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2623.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,0.98348,0.000287,0.783116,3.63601,13.30333,0.87933,0.02378,0.0,5.7242,48.56179,5.362
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/431.png,night_clear,extreme_dark,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.27485,0.000624,0.551543,4.33256,14.34976,1.02473,0.021155,0.0,6.51021,50.4609,5.398
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/5342.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.93059,8.9e-05,0.011333,7.5357,40.35521,2.10511,0.0784,0.000222,7.5299,38.37636,5.046
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3048.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.72017,0.0,0.007689,6.89197,28.56434,1.95855,0.010622,4.4e-05,7.37818,27.67319,4.89
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6966.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,2.08009,0.003333,0.001733,7.56015,28.41625,2.10953,0.018133,0.0,7.7259,26.55315,5.064
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/992.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,2.09515,0.021733,0.006311,7.72054,57.07012,2.05448,0.163467,0.0,7.35775,50.47557,4.996
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1045.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.91707,0.009556,0.016933,7.5969,66.59897,1.92714,0.077956,0.0,7.45941,55.11625,5.622
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6593.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.97002,0.012844,0.000578,7.0871,36.3292,2.03215,0.057733,0.0,7.65219,35.2618,4.893
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/694.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.61815,8.9e-05,0.000133,7.20316,40.39082,1.66162,0.017067,0.0,7.54646,37.45734,4.83
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/2174.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.95726,0.010756,0.002667,7.41848,42.51184,1.93822,0.025022,0.0,7.43396,38.04703,4.912
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6145.jpg,nir_night,borderline_glare,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.94915,0.037867,0.008756,7.70503,45.29183,1.92281,0.094889,0.0,7.54144,40.28211,4.964
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/4113.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.83472,0.000756,0.002844,7.43938,36.51462,2.04752,0.065822,0.0,7.65976,34.86873,4.953
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3506.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.89478,0.021689,0.003467,7.63322,60.61358,1.8938,0.107556,0.0,7.4458,50.20497,5.005
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3046.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.75829,8.9e-05,0.000933,7.39366,36.54428,1.84737,0.001822,0.0,7.49393,31.95971,5.034
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/2143.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.9086,0.000489,0.000844,7.35403,48.49669,2.08085,0.060889,0.0,7.61422,38.89129,5.334
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/2585.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.5459,0.0008,4.4e-05,6.66572,28.05615,1.77823,0.013022,0.0,7.3401,30.31132,5.055
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6627.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.69556,4.4e-05,0.001556,7.20834,58.78289,1.91616,0.037556,0.0,7.64462,49.14964,4.938
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/348.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.92286,0.002578,0.025333,7.76691,50.82626,1.97496,0.073333,0.0,7.70186,46.20232,5.19
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1751.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.24129,4.4e-05,0.0,5.81055,35.38386,1.37923,8.9e-05,0.0,6.56791,34.37338,4.908
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1681.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.94806,0.004756,0.007467,7.10826,27.10599,2.05408,0.060311,0.0,7.5748,30.35988,4.949
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/38.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.82459,0.0012,0.001111,7.46152,50.10585,1.82824,0.008578,0.0,7.55072,46.51819,5.007
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1710.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,2.02674,0.0024,0.004489,7.79826,59.79316,2.14016,0.103378,0.0,7.55695,42.24886,5.021
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3644.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.7824,0.008844,0.000267,7.72802,51.08103,1.85785,0.043911,0.0,7.53834,39.96458,4.877
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/830.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.62162,0.000267,0.003244,7.40534,79.68196,1.74408,0.1828,0.0,7.20029,66.6014,4.838
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/3533.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.7038,0.008933,0.000667,7.22369,73.38991,1.74685,0.065689,0.0,7.51746,55.31208,4.987
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/5449.jpg,nir_night,borderline_glare,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,2.21029,0.031911,0.030578,7.75527,36.51872,2.25245,0.146133,0.0,7.55846,35.84101,4.898
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/2948.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.61849,0.003244,0.011467,7.39634,40.38758,1.68377,0.016356,0.0,7.33789,34.84764,5.056
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6949.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.97006,0.025244,0.01,7.70607,50.13972,2.07099,0.100533,0.0,7.60519,40.54956,4.941
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1317.jpg,nir_night,,A,HybridNIREnhancer,still_image_cold_start_mode,still_image_cold_start_mode,1.92559,0.140044,0.0228,7.13509,76.92888,2.1121,0.226044,0.0,6.98286,57.84266,5.158
