model,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,weighted_f1_ci_low,weighted_f1_ci_high,ece,brier,model_path,model_sha256,model_size_bytes,model_size_mb,train_time_s,load_time_s,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_repeats,hardware,warnings_count,warnings,metric_status
random_forest_100,0.836251774727875,0.8201372456223379,0.852342640795078,0.7618430874600731,0.7386332625023482,0.7846314339593077,0.7533152666103646,0.7281569513702769,0.7727393242918862,0.8360033838843526,0.8207249617539075,0.8515308349292652,0.09687356703068929,0.25705770631304153,in-memory benchmark model; not persisted,751d5818c62b3dbaefd21192ed910805d6bd2148507c90a643c8e1b8c1664d54,22907198,21.846006393432617,0.3390306669753045,0.014569417107850313,14.966472769156098,15.940187498927116,16.282381187193096,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
random_forest_200_current_config,0.8357785139611926,0.8206341694273545,0.8518693800283956,0.7563719970969344,0.7311310662648213,0.7805729734863869,0.750182975278627,0.7242315190689584,0.769333928865389,0.835318967514194,0.8209170173430832,0.8506319252807221,0.09587471985361065,0.2549464754858694,in-memory benchmark model; not persisted,787c3608c374ef534ba08d89df872e43806dc1c02f277e5dd1823c38c46c9cff,45796662,43.675100326538086,0.7182229170575738,0.024423292139545083,14.91274516331032,15.674354508519173,16.267402190715075,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
extra_trees,0.8017037387600567,0.7846663511594889,0.8182678655939423,0.7284990639673476,0.7058435287486634,0.7534361527726986,0.7039258282527796,0.6767520274835285,0.7237173433743697,0.8028165786847555,0.7860302736827012,0.8197822831925133,0.25523705054876283,0.37044384311660156,in-memory benchmark model; not persisted,4ceef7518dd18490f02787a18a53db2f45838f4e8f10fc0a47e0cd181061cb6c,38683662,36.89161491394043,0.2726487908512354,0.01970579195767641,15.130610840084652,15.651936992071569,16.291364608332515,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
logistic_regression,0.6762896355892096,0.6559394226218647,0.6952200662565073,0.6418633978361933,0.6171569045837751,0.66488988054497,0.601025618878106,0.5774903216799595,0.6240719628280327,0.6785564267059234,0.6592309767428923,0.698941602104786,0.04391143783988295,0.422310184099485,in-memory benchmark model; not persisted,fac5518447bf42a029d7d95dee223af2c7375e27013ca883cc779e16e11abd8f,1632,0.001556396484375,0.7171317080501467,4.075001925230026e-05,0.028021227723608415,0.02741650678217411,0.035215308889746666,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
linear_svm,0.7193563653573118,0.6997042120208234,0.7390085186938002,0.6043289205152568,0.5828129598808712,0.6260130206242511,0.5786251728306747,0.5533516200811635,0.6012986878681956,0.6952740312470351,0.673741218269341,0.7151034252379984,nan,nan,in-memory benchmark model; not persisted,914f17094fe581a22a44dbbd97c152fa412e1ad815ba8b35822fab8b177120c0,1561,0.0014886856079101562,0.08748933393508196,2.991710789501667e-05,0.029823153745383024,0.029771006666123867,0.03679418005049229,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
hist_gradient_boosting,0.849029815428301,0.834110269758637,0.8632276384287743,0.7403764508546371,0.7160308714049981,0.765097747865899,0.7573159959316318,0.7292580085166861,0.7799913250737848,0.8442211875616513,0.828614286641111,0.8596052552220483,0.01899902137287482,0.2285632117327534,in-memory benchmark model; not persisted,631fe8349c4eb562a103b3fba1e9f358c3161ff8e3fe269a264fa61b7d1bf4ac,1548828,1.4770774841308594,4.657739582937211,0.002037332858890295,25.37943317554891,25.375062017701566,38.709825032856315,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
mlp_small_32,0.7903454803596782,0.7728348319924279,0.8069332702318978,0.6549904619616317,0.6308182082035069,0.6819430290351186,0.6743741064370813,0.6483195958989366,0.7004409779803651,0.7773994576529508,0.7603110487816496,0.7947327600032873,0.03492217167147063,0.31500466918494063,in-memory benchmark model; not persisted,84d619457a15cb59f10d2b9b4d824f3421d78401a1fd78398c180c9d5c87b86e,15104,0.014404296875,1.0618235419970006,0.0002457501832395792,0.059959214801589646,0.05802104715257883,0.06184119265526533,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,preliminary / not thesis-ready: dHash near-duplicate screening still has cross-split pairs; model artifacts not persisted due disk guardrail
