threshold,abstention_rate,n_accepted,f1_night_clear,f1_normal_night,f1_nir_night,macro_f1_night
0.5,0.0795,1945,0.9688,0.8823,0.978,0.943
0.55,0.1226,1854,0.9688,0.8916,0.9793,0.9466
0.6,0.1614,1772,0.9699,0.9027,0.9806,0.9511
0.62,0.1798,1733,0.9711,0.9097,0.9806,0.9538
0.65,0.2101,1669,0.9757,0.9163,0.9806,0.9575
0.7,0.2556,1573,0.9777,0.9231,0.9845,0.9618
0.75,0.3076,1463,0.9786,0.9314,0.9858,0.9653
