model,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,weighted_f1_ci_low,weighted_f1_ci_high,ece,brier,model_path,model_sha256,model_size_bytes,model_size_mb,train_time_s,load_time_s,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_repeats,hardware,warnings_count,warnings,metric_status
random_forest_100,0.8230004732607666,0.806187884524373,0.8407595835305253,0.7415338534423862,0.7151502005742812,0.7633031859685826,0.7325445031895803,0.7080033916058817,0.755205904848814,0.8201146029266896,0.8034394772734468,0.8365411759927543,0.08515202745568946,0.2600628796027357,in-memory benchmark model; not persisted,219fae47bb67a8dc58ccb5d4e7dcf549cb83f4c4b01913436e7d72fc64e0e87a,22994782,21.929533004760742,0.4008763749152422,0.015507792122662067,14.824477107419321,15.874541946686804,16.522225132212043,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
random_forest_200_current_config,0.8263132986275438,0.8090274491244676,0.8428774254614293,0.7463152032364473,0.72022132930835,0.7689888904198366,0.7361669412919759,0.711701699434245,0.7588075381729997,0.8233629629443292,0.8072160164074001,0.8403245657795,0.08848969122753562,0.25916082740526936,in-memory benchmark model; not persisted,4653b87b88777cf047689d6a0dd0311356001d13c214099784f7003919ca31da,45873094,43.74799156188965,0.7770318330731243,0.01779983309097588,15.815913654708615,15.886083478108048,17.017411242704842,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
extra_trees,0.8007572172266919,0.7834477046852816,0.820160908660672,0.7386416385869441,0.7133323163737963,0.7611105972749441,0.7149039615663876,0.6917208965118448,0.7392235577728417,0.8001800342557828,0.7813799107313072,0.8170019186824088,0.25819844816973686,0.37538824035748075,in-memory benchmark model; not persisted,2c8a454ea8c001822085db278d4ceecab167520dd44f1531d7af637cd0f690dd,39202330,37.38625526428223,0.32836749986745417,0.01706724986433983,15.210521499005457,15.817250474356115,16.284604219254106,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
logistic_regression,0.6672976810222433,0.6485920492191197,0.6871746332229058,0.6335132542807874,0.6085825169338647,0.6557147147878725,0.5927059818732661,0.57183073802609,0.6147868030458319,0.6687878548048438,0.6498515939570682,0.6901140102691362,0.04246507057966717,0.42949535562165503,in-memory benchmark model; not persisted,b6315b13fd3c559c9d625006e23666f41dd0014c758f9f8c97cb3815f507d5d9,1632,0.001556396484375,0.7025120409671217,5.641602911055088e-05,0.027086241946866114,0.02429191954433918,0.032993953209370395,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
linear_svm,0.7169900615238997,0.6968646474207288,0.7366422148603881,0.6107727417148896,0.5891638706103625,0.6313046053550148,0.5845033951528922,0.5603204114765539,0.6079566640954452,0.691237686743687,0.6693571875659682,0.7137099621955584,nan,nan,in-memory benchmark model; not persisted,a730d29d195eba2d345c8f2d1988d3097dc148c553cf429bb46b5c386e4e844f,1561,0.0014886856079101562,0.07933033304288983,2.7208123356103897e-05,0.02584019520630439,0.02418749500066042,0.029294227715581656,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
hist_gradient_boosting,0.8282063416942735,0.8113937529578797,0.8445456696639848,0.7096434828940956,0.6861323799313173,0.7334321613543568,0.723756279013558,0.6997817055874489,0.7479360119245837,0.8190932921846671,0.8015638639798,0.8349230517818382,0.04008697152742617,0.24339762618432284,in-memory benchmark model; not persisted,0ce801702c2ea41493be11ae255d1ebf0ef87b049b7513edc830142b2b2c38d0,1898821,1.810856819152832,5.433419832959771,0.002412416972219944,25.496105682104826,27.438353979960084,31.402031681500375,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
mlp_small_32,0.7941315664931378,0.7780407004259347,0.8121154756270705,0.6614417531904556,0.6369801308249617,0.684483672586602,0.6757834196590737,0.6501288588263062,0.7017707992123863,0.7797012394139663,0.7605058025655543,0.7971226049865306,0.023578651224726264,0.29937474310054724,in-memory benchmark model; not persisted,fbda13d857a8973a18b6ab9c701bc2a3c4792bde4e431be23644f7f4a725e9ca,16309,0.015553474426269531,1.9245649999938905,0.0003140841145068407,0.08502646426980694,0.0751040643081069,0.11180862784385684,300,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,offline optical RGB-proxy baseline; not live NIR/LWIR validated; macOS latency proxy
