threshold,abstention_rate,n_accepted,f1_night_clear,f1_normal_night,f1_nir_night,macro_f1_night
0.5,0.0426,2023,0.9843,0.951,0.9848,0.9733
0.55,0.0762,1952,0.9854,0.9583,0.9889,0.9775
0.6,0.1112,1878,0.9854,0.9635,0.9944,0.9811
0.62,0.1278,1843,0.9854,0.9679,0.9972,0.9835
0.65,0.1491,1798,0.989,0.9738,0.9972,0.9866
0.7,0.1822,1728,0.9913,0.9848,0.9972,0.9911
0.75,0.2281,1631,0.9938,0.9877,0.9972,0.9929
