model,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,weighted_f1_ci_low,weighted_f1_ci_high,ece,brier,model_path,model_sha256,model_size_bytes,model_size_mb,train_time_s,load_time_s,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_repeats,hardware,warnings_count,warnings,metric_status
logistic_regression,0.6871746332229058,0.6663274964505442,0.7046852815901562,0.6438704922260938,0.6201094358567868,0.6736146061663458,0.6073375790178474,0.5797572825315102,0.6287562585199087,0.6896158733740286,0.672237935802127,0.7078700080307829,0.0459764014861864,0.4229417499912794,artifacts/ml/model_comparison_12features/logistic_regression/model.joblib,25cb4981e634a94529956f79a2117f0ca2da7f73c19fb938c8cbe30739dd4c81,1775,0.0016927719116210938,21.62536070891656,0.0009295418858528137,0.04931495524942875,0.04606239963322878,0.06316229701042174,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
linear_svm,0.7250354945575012,0.7071344060577378,0.7454093705631802,0.6125840308612135,0.590171729446934,0.6370318547985492,0.5862695640892945,0.5613245195564857,0.6131482741857344,0.7005451531338445,0.6823545640626247,0.72148772401531,nan,nan,artifacts/ml/model_comparison_12features/linear_svm/model.joblib,eb9e34b0d8a5e8998135e50f57b5071bede0383bfc859831ed319dd106f4204f,1691,0.0016126632690429688,0.20207179198041558,0.00043287500739097595,0.0459812069311738,0.03916642162948847,0.06530864629894495,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
sgd_linear_svm,0.6687174633222905,0.6482962612399432,0.6878963558920965,0.5799118185211649,0.5562598847117017,0.6020084231865082,0.5501470798291499,0.526920308823415,0.5687034888185699,0.6625667729991971,0.6473476153192963,0.6850607227775546,0.0944468012239151,0.4646782067363822,artifacts/ml/model_comparison_12features/sgd_linear_svm/model.joblib,e588e041d7d34a3475950289da20f14592e0350e4d546351078859fc5f0aecc5,1647,0.0015707015991210938,0.4823089169804007,0.00032554101198911667,0.041008691769093275,0.03941706381738186,0.04385401261970401,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
gaussian_nb,0.6559394226218647,0.6357430194036914,0.6805963085660198,0.5549234839864189,0.5274183449330179,0.5825064759678557,0.5486800214400704,0.5234115288216264,0.5751383901921645,0.6417479878004797,0.6197575327475678,0.6596729320091349,0.21375817805176034,0.5424459669923005,artifacts/ml/model_comparison_12features/gaussian_nb/model.joblib,3081ea0f211adc8670bb45639d7a08564f0d287e09f1e8ed6e43b53b9c7f99c7,1755,0.0016736984252929688,0.007343666860833764,0.0003396251704543829,0.1982116512954235,0.18889550119638443,0.23793370928615332,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
decision_tree,0.7581637482252721,0.740132513014671,0.7721604353999053,0.6848941866348989,0.6574416222286446,0.7157653689967765,0.6571536545854668,0.62987239725977,0.6805051677147396,0.7648836145206813,0.747227389590479,0.7829855138085399,0.15674491802532295,0.39206938814528497,artifacts/ml/model_comparison_12features/decision_tree/model.joblib,25be284a8e04b82b38296191554d54781bb8cc3508c9fcbe0cbcde910a38aac3,285489,0.2722635269165039,0.1737729161977768,0.0005917088128626347,0.04547571297734976,0.042332918383181095,0.0572627643123269,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
random_forest_50,0.8476100331282537,0.8305726455276857,0.8601632749645054,0.7638274196398915,0.7407132524010206,0.7859490916302776,0.7609119427521336,0.7372541374049134,0.7855462473152072,0.8462759421620173,0.8306391689181,0.8580794590131208,0.1048570711871036,0.24512330340848473,artifacts/ml/model_comparison_12features/random_forest_50/model.joblib,38056458efb3839911f10224488825af84572099e4d6e511a70129e06e059658,11504625,10.971665382385254,0.43509037513285875,0.019833958009257913,13.995602075010538,14.048812445253134,14.493622980080545,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
random_forest_100,0.8476100331282537,0.8291292001893042,0.8604117368670137,0.7677386970607601,0.7444960708479554,0.7912163366927453,0.7660697404373488,0.743096329982149,0.7895216484215458,0.846439539440245,0.8320165581444022,0.8598607302014133,0.1044247188175188,0.24437221344394883,artifacts/ml/model_comparison_12features/random_forest_100/model.joblib,b6ad25f2d6d64f2ab0a0572eca6ab2bb2d09f63dfefd2490a3d7f2b3250f83dd,22938913,21.87625217437744,1.1428635409101844,0.039915124885737896,14.654410425573587,13.964478974230587,14.620497764553875,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
random_forest_200_current_config,0.8471367723615713,0.8289044013251301,0.8594415522953147,0.7664625454539933,0.744804032775863,0.793073059114455,0.7631823899674449,0.7389618333774454,0.7855214315432192,0.8459467230828814,0.8293475966128868,0.8597388816311256,0.10481674637335113,0.24358076614898314,artifacts/ml/model_comparison_12features/random_forest_200_current_config/model.joblib,148ec60827d02c9af199d6e167e774afa54e28658570340b06fcdb0b5be962e8,46069425,43.935227394104004,2.2226521249394864,0.07522108289413154,30.460347055923194,26.771624921821058,58.415193681139485,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
random_forest_depth_8,0.7681022243256034,0.7473852342640794,0.7839919545669664,0.7036873363277553,0.6789261743755713,0.728669164897718,0.6756530931478907,0.6531742241188092,0.6972542458826054,0.7697815057526008,0.7535002524150559,0.7903961955782176,0.13874310509291016,0.3503593276725584,artifacts/ml/model_comparison_12features/random_forest_depth_8/model.joblib,9ce42158375ea38c9e45ae6ef8981ae30bcbb9ca22dd2ed400c60586d3f80ae7,8168129,7.789734840393066,1.6580321250949055,0.036012041848152876,51.95501331007108,27.391604031436145,129.15805248776445,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
random_forest_depth_12,0.820160908660672,0.8026265972550876,0.8334122101277804,0.7474903652114048,0.7263305092597686,0.7730745892703486,0.7367018435058486,0.7150732593732356,0.7607574833340324,0.8201602865560936,0.8048284340652981,0.8358995058808941,0.11429051213359762,0.2780313786301778,artifacts/ml/model_comparison_12features/random_forest_depth_12/model.joblib,3cdbb196954121635bdfea82f0cf832a03b03b5e1e9b18bf1227252f2f56a7ae,26472913,25.24653720855713,2.8437574580311775,0.17005387507379055,25.721086224075407,26.510437950491905,29.53125610947609,100,macOS proxy benchmark (not Raspberry Pi 4 CPU),0,,quick / preliminary / not thesis-ready
