env_class,edge_case,detail_strength,clahe_clip_scale,proc_w,proc_h,n,mean_log_rms_after,mean_pct_sat_after,mean_pct_crush_after,mean_delta_log_rms,p90_pct_sat_after,p90_pct_crush_after,stopping_rule_pass
night_clear,,0.25,0.5,240,180,40,0.67289,0.04081,0.0,-0.43541,0.13298,0.0,1
nir_night,,0.25,0.5,240,180,40,1.81546,0.05491,0.0,-0.05352,0.17044,0.0,0
normal_night,,0.25,0.5,240,180,40,1.05395,0.06458,0.00356,-0.1902,0.17912,0.0018,0
night_clear,,0.25,1.0,320,240,40,0.95672,0.05875,1e-05,-0.15159,0.18728,0.0,0
nir_night,,0.25,1.0,320,240,40,1.96655,0.07219,6e-05,0.09758,0.16347,4e-05,0
normal_night,,0.25,1.0,320,240,40,1.19067,0.07435,0.00118,-0.05348,0.20405,0.00278,0
night_clear,,0.25,1.0,240,180,40,0.70597,0.05362,0.0,-0.40234,0.17879,0.0,0
nir_night,,0.25,1.0,240,180,40,1.89508,0.06273,3e-05,0.0261,0.15782,0.0,0
normal_night,,0.25,1.0,240,180,40,1.07461,0.06548,0.00215,-0.16954,0.19301,0.00276,0
night_clear,,0.25,1.2,320,240,40,0.97274,0.06299,1e-05,-0.13557,0.1942,0.0,0
nir_night,,0.25,1.2,320,240,40,1.98491,0.07789,0.0001,0.11593,0.16342,0.00013,0
normal_night,,0.25,1.2,320,240,40,1.19727,0.07158,0.00093,-0.04688,0.21002,0.00288,0
night_clear,,0.25,1.2,240,180,40,0.71967,0.05847,0.0,-0.38864,0.19353,0.0,0
nir_night,,0.25,1.2,240,180,40,1.92032,0.06839,7e-05,0.05134,0.1532,0.00013,0
normal_night,,0.25,1.2,240,180,40,1.07933,0.06566,0.00124,-0.16481,0.19569,0.0033,0
night_clear,,0.25,1.5,320,240,40,1.0002,0.06553,2e-05,-0.1081,0.14173,1e-05,0
nir_night,,0.25,1.5,320,240,40,2.01171,0.08553,0.00018,0.14274,0.16911,0.00049,0
normal_night,,0.25,1.5,320,240,40,1.20694,0.06896,0.00082,-0.03721,0.21629,0.00265,0
