env_class,edge_case,lo,hi,n,mean_blend_w,pct_genuinely_blended,mean_delta_log_rms,mean_pct_sat_after,mean_pct_crush_after,surrogate_mode,stopping_rule_pass
fog,,0.15,0.55,30,0.95624,0.1667,0.01964,0.00098,0.00226,single_frame_ema_proxy,0
glare,,0.15,0.55,30,0.52687,0.8,-0.00816,0.01356,0.0,single_frame_ema_proxy,0
backlight,,0.15,0.55,25,0.71938,0.72,-0.11496,0.00547,0.00178,single_frame_ema_proxy,0
rain,,0.15,0.55,20,0.74011,0.8,0.02154,0.00068,0.00195,single_frame_ema_proxy,0
normal_day,,0.15,0.55,20,0.78833,0.7,-0.06667,0.00026,0.00192,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.15,0.55,25,0.0,0.0,-0.10205,0.11943,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.4,40,0.0,0.0,-0.14542,0.02706,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.4,40,0.90898,0.325,0.03509,0.00039,0.0128,single_frame_ema_proxy,0
normal_night,,0.2,0.4,40,0.02908,0.125,-0.04834,0.05114,0.00524,single_frame_ema_proxy,0
fog,,0.2,0.4,30,0.97605,0.0333,0.01481,0.00091,0.00225,single_frame_ema_proxy,0
glare,,0.2,0.4,30,0.65423,0.4333,0.03594,0.01596,3e-05,single_frame_ema_proxy,0
backlight,,0.2,0.4,25,0.86674,0.32,-0.0371,0.00129,0.00696,single_frame_ema_proxy,0
rain,,0.2,0.4,20,0.90703,0.25,0.03144,0.00091,0.00419,single_frame_ema_proxy,0
normal_day,,0.2,0.4,20,0.96341,0.15,-0.02193,0.00051,0.01133,single_frame_ema_proxy,0
mixed_edge,mixed_lighting,0.2,0.4,25,0.0,0.0,-0.09672,0.12309,0.00079,single_frame_ema_proxy,0
night_clear,extreme_dark,0.2,0.45,40,0.0,0.0,-0.14797,0.02864,3e-05,single_frame_ema_proxy,0
nir_night,,0.2,0.45,40,0.8301,0.525,0.04512,0.00043,0.00382,single_frame_ema_proxy,0
normal_night,,0.2,0.45,40,0.02326,0.125,-0.05317,0.04937,0.00481,single_frame_ema_proxy,0
fog,,0.2,0.45,30,0.97417,0.0333,0.01537,0.00111,0.00225,single_frame_ema_proxy,0
glare,,0.2,0.45,30,0.58544,0.5333,0.0195,0.01406,3e-05,single_frame_ema_proxy,0
backlight,,0.2,0.45,25,0.8097,0.48,-0.06818,0.00302,0.0028,single_frame_ema_proxy,0
