path,env_class,bucket,bucket_fn,run_mode,before_log_rms_contrast,before_pct_saturated,before_pct_crushed,before_hist_entropy,before_local_contrast_std,after_log_rms_contrast,after_pct_saturated,after_pct_crushed,after_hist_entropy,after_local_contrast_std,proc_ms
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5989.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,0.93065,0.000242,0.831691,3.29402,12.59701,1.0454,0.000275,0.000495,3.49925,17.82777,2.712
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5989.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,0.93065,0.000242,0.831691,3.29402,12.59701,-0.03518,0.0,0.878407,2.5241,11.30785,5.941
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5019.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.64245,0.000334,0.606988,4.68639,23.53207,1.32823,0.05521,7.7e-05,6.84003,62.08317,5.973
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5019.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.64245,0.000334,0.606988,4.68639,23.53207,1.75281,0.000374,0.002204,5.06387,30.49418,2.321
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5019.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.64245,0.000334,0.606988,4.68639,23.53207,0.25297,0.000498,0.638447,4.59291,22.28684,4.703
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/164.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.06269,8.9e-05,0.95495,2.14,5.97279,0.90077,0.001768,0.0,4.03106,20.43518,5.47
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/164.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.06269,8.9e-05,0.95495,2.14,5.97279,1.13184,8.9e-05,0.0,1.91076,7.94908,2.289
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/164.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.06269,8.9e-05,0.95495,2.14,5.97279,-0.11576,0.0,0.952865,1.52442,5.07221,4.673
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5352.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.22421,0.000786,0.424021,5.746,35.98217,1.13556,0.275265,7.7e-05,6.19928,94.54859,5.602
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5352.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.22421,0.000786,0.424021,5.746,35.98217,1.4551,0.001798,0.002867,6.477,49.73272,2.156
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5352.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.22421,0.000786,0.424021,5.746,35.98217,0.23061,0.001875,0.49726,4.9357,28.73525,4.705
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4109.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.12074,0.000437,0.493038,4.6893,21.98758,1.03816,0.053614,0.0,6.85984,62.33473,6.495
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4109.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.12074,0.000437,0.493038,4.6893,21.98758,1.19014,0.000495,0.002751,5.34204,28.29447,2.837
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4109.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.12074,0.000437,0.493038,4.6893,21.98758,0.16456,0.0,0.727562,4.04129,20.64635,4.931
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1232.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,0.92967,5.7e-05,0.926111,1.60581,8.00586,0.92046,0.01206,0.0,2.72847,34.85787,6.112
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1232.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,0.92967,5.7e-05,0.926111,1.60581,8.00586,1.0637,5.7e-05,0.0,1.63493,12.93243,2.759
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1232.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,0.92967,5.7e-05,0.926111,1.60581,8.00586,-0.14525,0.0,0.932686,1.40151,6.98153,4.98
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1218.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.13991,0.000629,0.510819,4.83071,23.37341,1.03835,0.090341,1e-06,6.76499,77.00409,5.664
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1218.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.13991,0.000629,0.510819,4.83071,23.37341,1.22508,0.000671,0.004225,5.61762,33.39063,2.377
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1218.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.13991,0.000629,0.510819,4.83071,23.37341,0.17527,0.000148,0.594399,4.3456,22.3858,7.991
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/169.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.14736,0.000633,0.465289,5.00856,25.36431,1.04255,0.094664,0.0,6.85278,74.68927,7.098
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/169.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.14736,0.000633,0.465289,5.00856,25.36431,1.23501,0.000674,0.002182,5.61323,34.66705,2.351
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/169.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.14736,0.000633,0.465289,5.00856,25.36431,0.17437,0.001555,0.5992,4.36451,25.55095,5.846
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2610.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,0.99563,0.000291,0.839919,3.17506,13.15061,0.84042,0.022582,0.0,5.28791,44.24776,5.482
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2610.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,0.99563,0.000291,0.839919,3.17506,13.15061,1.0686,0.000318,0.0,3.22939,17.88631,2.581
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2610.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,0.99563,0.000291,0.839919,3.17506,13.15061,-0.00815,0.0,0.890413,2.44428,11.89223,6.047
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2713.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.1281,0.00226,0.768115,3.78756,25.33714,0.91593,0.046534,0.0,5.88735,55.32758,6.429
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2713.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.1281,0.00226,0.768115,3.78756,25.33714,1.17953,0.002172,0.001893,4.2567,28.35901,2.445
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/2713.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.1281,0.00226,0.768115,3.78756,25.33714,0.177,0.00093,0.8288,3.24062,25.20776,5.8
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4724.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.17316,0.000404,0.871496,3.2213,11.96405,1.00791,0.006241,0.0,5.52199,31.13494,7.558
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4724.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.17316,0.000404,0.871496,3.2213,11.96405,1.26018,0.000409,7.6e-05,3.31518,14.51138,2.779
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/4724.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.17316,0.000404,0.871496,3.2213,11.96405,0.01311,0.0,0.911152,2.57031,10.90054,5.442
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5437.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.18123,0.000403,0.881874,3.18432,12.09362,1.00175,0.00571,0.0,5.49669,29.54784,7.047
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5437.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.18123,0.000403,0.881874,3.18432,12.09362,1.26189,0.000405,0.001382,3.34141,14.41237,2.437
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/5437.png,night_clear,D,nir_dehaze_lite,still_image_cold_start_mode,1.18123,0.000403,0.881874,3.18432,12.09362,0.02117,0.0,0.918089,2.53026,11.01034,5.97
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1194.png,night_clear,A,HybridNIREnhancer,still_image_cold_start_mode,1.05793,0.001142,0.919681,2.61819,14.23531,0.7922,0.011227,0.0,4.8273,32.46931,7.28
/Users/phongpham/Downloads/smartBinocular/data/weather/darkface/image/1194.png,night_clear,B,nir_nir_night_clahe,still_image_cold_start_mode,1.05793,0.001142,0.919681,2.61819,14.23531,1.10848,0.00113,0.0,2.53906,16.08611,2.774
